Ted	I shouldn't bring an umbrella to a brainstorm.
Ted	I think that you might be so sure that you're one in a million, that sometimes you forget that out there you're just one in 11.
Mae	For some, it's better to follow your gut than pretend to be excited by following someone else's.
Ted	When you choose to do that, you're giving that to yourself.
Trent	I don't think we change per se, as much as we just learn to accept who we've always been.
Higgins	A good mentor hopes you will move on. A great mentor knows you will.
Beard	Change isn't about trying to be perfect. Perfection sucks. Perfect is boring.
Ted	A lot of times the right idea is just sitting behind a couple of the wrong ones.
Dr Sharon	Doubt can only be removed by action
Sam's Dad	Anger will only weaken you. But if you really want to piss off the people who did this, forgive them.
Sam's Dad	Don't fight back. Fight forward.
Ted	Don't sell yourself short. If anything, sell yourself tall and get it tailored later.
Zava	Dream big, and you may never wake up
Rebecca's Mum	Explore the world. More importantly, explore yourself.
Roy	For the past year, I've busted my ass trying to change. But apparently, I haven't done shit because I'm still me.
Ted	Be curious, not judgmental.
Higgins	Human beings are never gonna be perfect, Roy. The best we can do is to keep asking for help and accepting it when you can.
Nate's Dad	Humility is not about thinking less of yourself, it is about thinking about yourself less.
Ted	I hope that either all of us or none of us are judged by the actions of our weakest moments, but rather by the strength we show when and if we're ever given a second chance.
Colin	I know we can't fix every ache inside of us. But I shouldn't have to pretend it's not there either.
Ted	I think things come into our lives to help us get from one place to a better one.
Ted	I promise you, there is something worse out there than being sad, and that is being alone and being sad.
Ted	Isn't the idea of never give up one of them things we always talk about in sports? And shouldn't that apply to people too?
Ted	It may not work out how you think it will or how you hope it does. But believe me, it will all work out.
Ted	It's funny to think about the things in your life that can make you cry just knowing that they existed, can then become the same thing that make you cry knowing that they're now gone.
Rebecca	Just because we own these teams doesn't mean they belong to us.
Ted	Just listen to your gut, and on the way down to your gut, check in with your heart.
Nora	Sometimes you have to do the right thing, even if you lose.
Ted	I think it's the lack of hope that comes and gets you. I believe in hope. I believe in belief.
Sam's Dad	Stop looking for the answer and let the answer come to you
Ted	Taking on a challenge is a lot like riding a horse. If you're comfortable while you're doing it, you're probably doing it wrong
Dr Sharon	The truth will set you free, but first it will piss you off
Ted	Tried something new. It didn't work. Big whoop.
Rebecca	You need to stop letting yesterday get in the way of today
Ted	You know how they say that youth is wasted on the young? Well, I say don't let the wisdom of age be wasted on you.
Ted	You know what the happiest animal on Earth is? It's a goldfish. Got a ten-second memory. Be a goldfish, Sam.
Keeley	You've gotta let Ted be Ted
Higgins	I try to love my Dad for who he is and forgive him for who he isn't
Jamie's Mum	You're not lost, my sexy little baby. You're just not sure which direction you're going in yet
Roy	Most adults think kids need to be constantly entertained. Truth is they just wanna feel like they're part of our lives.
Roy	What do you have to be sad about? Did one of the Paw Patrol dogs die?
Ted's Mum	That is the thing about being a parent. Sometimes you lose and sometimes you win, but most of the time you just tie. All we can do is keep playing.
Beard	Jane and I took a big step forward in our relationship this weekend. We are now sharing an iCloud account.
Higgins	If you're with the right person, even the hard times are easy.
Keeley	It's an emotional version of color blindness where a person interprets red flags as giant green flags.
Rebecca	I thought being invulnerable would protect me, so I pushed people away for years, leading me directly to my greatest fear: Being alone.
Roy	Don't you dare settle for fine. You deserve to be with someone who makes you feel like you've been struck by lightning.
Sam	There is something I should warn you of. I'm only gonna get more wonderful.
Ted	I believe in Communism. Rom-communism, that is.
Ted	If you care about someone, and you got a little love in your heart, there ain't nothing you can't get through together.
Ted	I always thought that tea was just gonna taste like hot brown water. And you know what? I was right. It's horrible.
Ted	Tea is horrible. Absolute garbage water. I don't know why y'all do that.
Ted	English breakfast to me is just a pile of a bunch of little, tiny piles.
Roy	Jamie Tartt is a muppet.
Rupert	McAdoo to take the penalty? I wouldn't trust him to take an aspirin
Roy	We got City on Saturday, so we need you to be the prickiest prick you've ever been in your little prick life
Higgins	He's an emotionally erratic billionaire with the temperament of one of those kids in Willy Wonka
Rebecca	Get out of your own way, man.
Ted	Mercy buckets
Ted	Oh, hush your butts!
Ted	Expectations for us are lower than a rattlesnake's belly button
Ted	My hopes are as high as a giraffe's top hat
Ted	Keep it simple, smartypants
Ted	If we're gonna make an impact here, the first domino needs to fall right inside of that man's heart
Ted	He thinks he's mad now, wait till we win him over
Higgins	To the family we're born with and the family we make along the way!
Ted	There ain't a whole lot of places like AFC Richmond either
Trent	By slowly but surely building a club-wide culture of trust and support through thousands of imperceptible moments
Ted	He's our dork
Ted	Doing the right thing is never the wrong thing
Ted	I appreciate you
Jamie	We're a team, ain't we? Gotta wear the same kit
Trent	If the lasso way is wrong, it's hard to imagine being right
Sam	I like the idea of someone becoming rich, because of what they gave to the world.
Dr Sharon	You helped me become a better therapist.
Trent	I can't help but root for him
Ted	It's not about me. Never was.
Ted	I'm glad you didn't hear any boat horns, given all the fried yams I ate last night.
Ted	Hurt people hurt people.
Ted	It ain't easy to explain, but you know it when you see it.
